alpha,beta,gamma
1,1,1
2,1,1
0.000172109291077834,0.0206400399335088,1
0.000121412293070633,0.0192776490788713,1
9.82422745744264e-05,0.013236729010649,1
0.01,0.208929613085404,1
0.01,0.263026799189538,1
0.01,0.363078054770101,1
0.01,0.630957344480193,1
0.0173780082874938,0.158489319246111,1
0.0794328234724281,0.301995172040202,1
0.223872113856834,0.457088189614875,1
0.275422870333817,0.691830970918937,1
0.389045144994281,0.72443596007499,1
0.446683592150963,0.954992586021436,1
0.446683592150963,1.09647819614319,1
0.478630092322638,0.602559586074358,1
0.588843655355589,0.758577575029184,1
0.630957344480193,1.51356124843621,1
0.891250938133745,0.831763771102671,1
1.17489755493953,1.20226443461741,1
1.25892541179417,2.51188643150958,1
1.34896288259165,0.91201083935591,1
1.77827941003892,1.14815362149688,1
1.90546071796325,1.58489319246111,1
2.04173794466953,1.81970085860998,1
2.51188643150958,1.20226443461741,1
2.51188643150958,1.44543977074593,1
2.69153480392692,2.29086765276777,1
3.09029543251359,1.09647819614319,1
3.54813389233575,1.25892541179417,1
3.54813389233575,1.51356124843621,1
4.07380277804113,1.81970085860998,1
4.36515832240166,1.51356124843621,1
5.75439937337157,1.38038426460288,1
5.75439937337157,3.46736850452532,1
6.16595001861482,1.58489319246111,1
6.60693448007596,2.29086765276777,1
7.07945784384138,1.38038426460288,1
7.07945784384138,1.99526231496888,1
7.58577575029184,1.58489319246111,1
8.7096358995608,2.75422870333817,1
8.7096358995608,5.75439937337157,1
9.33254300796991,1.99526231496888,1
1,1,1.25
2,1,1.25
0.000172109291077834,0.0206400399335088,1.25
0.000121412293070633,0.0192776490788713,1.25
9.82422745744264e-05,0.013236729010649,1.25
0.01,0.208929613085404,1.25
0.01,0.263026799189538,1.25
0.01,0.363078054770101,1.25
0.01,0.630957344480193,1.25
0.0173780082874938,0.158489319246111,1.25
0.0794328234724281,0.301995172040202,1.25
0.223872113856834,0.457088189614875,1.25
0.275422870333817,0.691830970918937,1.25
0.389045144994281,0.72443596007499,1.25
0.446683592150963,0.954992586021436,1.25
0.446683592150963,1.09647819614319,1.25
0.478630092322638,0.602559586074358,1.25
0.588843655355589,0.758577575029184,1.25
0.630957344480193,1.51356124843621,1.25
0.891250938133745,0.831763771102671,1.25
1.17489755493953,1.20226443461741,1.25
1.25892541179417,2.51188643150958,1.25
1.34896288259165,0.91201083935591,1.25
1.77827941003892,1.14815362149688,1.25
1.90546071796325,1.58489319246111,1.25
2.04173794466953,1.81970085860998,1.25
2.51188643150958,1.20226443461741,1.25
2.51188643150958,1.44543977074593,1.25
2.69153480392692,2.29086765276777,1.25
3.09029543251359,1.09647819614319,1.25
3.54813389233575,1.25892541179417,1.25
3.54813389233575,1.51356124843621,1.25
4.07380277804113,1.81970085860998,1.25
4.36515832240166,1.51356124843621,1.25
5.75439937337157,1.38038426460288,1.25
5.75439937337157,3.46736850452532,1.25
6.16595001861482,1.58489319246111,1.25
6.60693448007596,2.29086765276777,1.25
7.07945784384138,1.38038426460288,1.25
7.07945784384138,1.99526231496888,1.25
7.58577575029184,1.58489319246111,1.25
8.7096358995608,2.75422870333817,1.25
8.7096358995608,5.75439937337157,1.25
9.33254300796991,1.99526231496888,1.25
1,1,1.5
2,1,1.5
0.000172109291077834,0.0206400399335088,1.5
0.000121412293070633,0.0192776490788713,1.5
9.82422745744264e-05,0.013236729010649,1.5
0.01,0.208929613085404,1.5
0.01,0.263026799189538,1.5
0.01,0.363078054770101,1.5
0.01,0.630957344480193,1.5
0.0173780082874938,0.158489319246111,1.5
0.0794328234724281,0.301995172040202,1.5
0.223872113856834,0.457088189614875,1.5
0.275422870333817,0.691830970918937,1.5
0.389045144994281,0.72443596007499,1.5
0.446683592150963,0.954992586021436,1.5
0.446683592150963,1.09647819614319,1.5
0.478630092322638,0.602559586074358,1.5
0.588843655355589,0.758577575029184,1.5
0.630957344480193,1.51356124843621,1.5
0.891250938133745,0.831763771102671,1.5
1.17489755493953,1.20226443461741,1.5
1.25892541179417,2.51188643150958,1.5
1.34896288259165,0.91201083935591,1.5
